Name,Price,Smartphone OS,IMG PATH,Screen Resolution,Screen size,Processor,GPU,RAM
"Asus Zenfone 5Z (8GB RAM, 256GB)","31,999","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Asus Zenfone 5Z 1.jpg,1080x2246 pixels (~ 402 pixels per inch),6.2 inches,"2.7 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
"OnePlus 6 (8GB RAM, 128GB)","39,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/OnePlus 6 1.jpg,1080x2280 pixels (~ 402 pixels per inch),6.28 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
"Huawei Honor View20 (8GB RAM, 256GB)","43,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei Honor View 20 1.jpg,1080x2310 pixels (~ 398 pixels per inch),6.4 inches,"2.6 GHz, Octa Core, HiSilicon Kirin 980",Mali-G76 MP10,8 GB
Apple iPhone 8 Plus 64GB,"65,890","Apple iOS 11, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone 8 Plus 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"Hexa Core, A11 Bionic with Neural Engine and M11 Motion Coprocessor",Apple GPU,3 GB
LG G7 ThinQ,"25,999","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/LG G7 ThinQ 1.jpg,1440x3120 pixels (~ 563 pixels per inch),6.1 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,4 GB
Google Pixel 2 XL 128GB,"82,000","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Google Pixel 2 XL 1.jpg,1440x2880 pixels (~ 537 pixels per inch),6 inches,"2.35 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,4 GB
Huawei P20 Pro,"64,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Huawei P20 Pro 1.jpg,1080x2240 pixels (~ 408 pixels per inch),6.1 inches,"2.36 GHz, Octa Core, Hisilicon Kirin 970",Mali-G72 MP12,6 GB
"Asus Zenfone 5Z (6GB RAM, 128GB)","27,999","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Asus Zenfone 5Z 1.jpg,1080x2246 pixels (~ 402 pixels per inch),6.2 inches,"2.7 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
"Xiaomi POCO F1 (6GB RAM, 128GB)","20,840","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi POCO F1 1.jpg,1080x2246 pixels (~ 403 pixels per inch),6.18 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845 with LiquidCool Technology",Adreno 630,6 GB
"OnePlus 6 (6GB RAM, 64GB)","34,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/OnePlus 6 1.jpg,1080x2280 pixels (~ 402 pixels per inch),6.28 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
